campus,level,page,url,section,context,table_label,kind,note
vancouver,,Student Fees Established and Approved by a Student Society,https://vancouver.calendar.ubc.ca/fees/student-fees/student-fees-established-and-approved-student-society,General Student Fees Established and Approved by a Student Society,"[""1 This excludes Visiting International Research Students, who receive a full exemption from AMS student fees.""]","1 This excludes Visiting International Research Students, who receive a full exemption from AMS student fees.",note,"2 AMS/GSS Health and Dental Insurance provides coverage for expenses such as most prescription drugs, travel health insurance, vision, and dental care, in addition to basic medical covered by MSP. The fee is assessed only in the Winter Session and provides coverage from September 1 to August 31. Students beginning their studies in January will be assessed $264.27 and will be covered from January 1 to August 31. Please visit ihaveaplan.ca for information on Change-of-Coverage Period to determine when opt-outs or new enrolments can be made."
vancouver,,Student Fees Established and Approved by a Student Society,https://vancouver.calendar.ubc.ca/fees/student-fees/student-fees-established-and-approved-student-society,General Student Fees Established and Approved by a Student Society,"[""1 This excludes Visiting International Research Students, who receive a full exemption from AMS student fees.""]","1 This excludes Visiting International Research Students, who receive a full exemption from AMS student fees.",note,3 SUB Renewal Fee is used to support the construction of the new Student Union Building.
vancouver,,Student Fees Established and Approved by a Student Society,https://vancouver.calendar.ubc.ca/fees/student-fees/student-fees-established-and-approved-student-society,General Student Fees Established and Approved by a Student Society,"[""1 This excludes Visiting International Research Students, who receive a full exemption from AMS student fees.""]","1 This excludes Visiting International Research Students, who receive a full exemption from AMS student fees.",note,"4 The U-Pass provides all zone unlimited access to public transit, and is charged to eligible students enrolled in the Winter and Summer Sessions and who are members of the AMS. For information on exemptions and how to apply, refer to U-Pass eligibility and exemptions. Refer to U-Pass for more information."
vancouver,,Student Fees Established and Approved by a Student Society,https://vancouver.calendar.ubc.ca/fees/student-fees/student-fees-established-and-approved-student-society,General Student Fees Established and Approved by a Student Society,"[""1 This excludes Visiting International Research Students, who receive a full exemption from AMS student fees.""]","1 This excludes Visiting International Research Students, who receive a full exemption from AMS student fees.",note,"5 This fee is assessed to all students in Winter Session who are registered in the final year of a course leading to a bachelor’s degree, the M.D., the D.M.D., the J.D., or the B.Ed., and who have not previously paid the fee. This fee is for the support of student-sponsored graduating class activities. This fee is tax deductible and will be included in the T2202A tax receipt."
vancouver,,Student Fees Established and Approved by a Student Society,https://vancouver.calendar.ubc.ca/fees/student-fees/student-fees-established-and-approved-student-society,Undergraduate Student Fees Established and Approved by a Student Society,[],,note,1 Includes UBC Vantage College programs.
vancouver,,Student Fees Established and Approved by a Student Society,https://vancouver.calendar.ubc.ca/fees/student-fees/student-fees-established-and-approved-student-society,Undergraduate Student Fees Established and Approved by a Student Society,[],,note,2 Includes Bachelor of Computer Science.
vancouver,,Student Fees Established and Approved by a Student Society,https://vancouver.calendar.ubc.ca/fees/student-fees/student-fees-established-and-approved-student-society,Graduate Student Fees Established and Approved by a Student Society,[],,note,1 Collected one time only (not annually) by the School of Information on behalf of the student society.
vancouver,,Student Fees Established and Approved by a Student Society,https://vancouver.calendar.ubc.ca/fees/student-fees/student-fees-established-and-approved-student-society,Graduate Student Fees Established and Approved by a Student Society,[],,note,"2 Collected at the time of the first M.B.A. tuition instalment payment, or the fourth tuition instalment payment for J.D.M.B.A. and M.B.A. + M.B.A.N.."
vancouver,,Student Fees Established and Approved by a Student Society,https://vancouver.calendar.ubc.ca/fees/student-fees/student-fees-established-and-approved-student-society,Graduate Student Fees Established and Approved by a Student Society,[],,note,3 Collected once during the first year for M.B.A. + M.B.A.N. Dual Degree students.
vancouver,,Student Fees Established and Approved by a Student Society,https://vancouver.calendar.ubc.ca/fees/student-fees/student-fees-established-and-approved-student-society,Graduate Student Fees Established and Approved by a Student Society,[],,note,4 Collected at the time of the first M.M. tuition instalment payment.
